Hips Don\'t Lie (feat. Wyclef Jean),Shakira

Cheap Thrills (feat. Sean Paul),Sia

Don\'t Be Shy,Tiësto

Yellow,Coldplay

Thunder,Imagine Dragons

When I Was Your Man,Bruno Mars

Beautiful Girls,Sean Kingston

Dynamite,BTS

World's Smallest Violin,AJR

The Hills,The Weeknd

Just Give Me a Reason (feat. Nate Ruess),P!nk

Faded,Alan Walker

No Lie,Sean Paul

The Real Slim Shady,Eminem

Say It Right - Main,Nelly Furtado

STAY (with Justin Bieber),The Kid LAROI

I'm Not The Only One,Sam Smith

Perfect,Ed Sheeran

Die For You,The Weeknd

Hold My Hand,Lady Gaga

Sweater Weather,The Neighbourhood

Treat You Better,Shawn Mendes

Where Is The Love?,Black Eyed Peas

Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit

Shake It Off,Taylor Swift

Someone You Loved,Lewis Capaldi

Smack That,Akon

Starboy,The Weeknd

Unforgettable,French Montana

Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons

Bad Habits,Ed Sheeran

Locked out of Heaven,Bruno Mars

7 Years,Lukas Graham

Paradise - Tiësto Remix,Coldplay

Umbrella,Rihanna

Glimpse of Us,Joji

Night Changes,One Direction

Dandelions,Ruth B.

Without Me,Halsey

It's My Life,Bon Jovi

Poker Face,Lady Gaga

Sugar,Maroon 5

love nwantiti (ah ah ah) feat. Joeboy & Kuami Eugene Remix,CKay

Runaway,AURORA

You Belong With Me,Taylor Swift

I Took A Pill In Ibiza - Seeb Remix,Mike Posner

Shallow,Lady Gaga

Rude,MAGIC!

Cure For Me,AURORA

Bad Habit,Steve Lacy

Until I Found You,Stephen Sanchez

Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)

Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X

track,artist

The Hills,The Weeknd

Radioactive,Imagine Dragons

Better Now,Post Malone

Trap Queen,Fetty Wap

Party Rock Anthem,LMFAO

We Are Young (feat. Janelle Monáe),fun.

Someone Like You,Adele

Blank Space,Taylor Swift

Take Me To Church,Hozier

Psycho (feat. Ty Dolla $ign),Post Malone

Counting Stars,OneRepublic

Hey, Soul Sister

Shape of You,Ed Sheeran

Nice For What,Drake

bad guy,Billie Eilish

Hello,Adele

