"track,artist"
"Stayin' Alive,Bee Gees"
"You're The One That I Want - From “Grease”,John Travolta, Olivia Newton-John"
"Boogie Wonderland,Earth, Wind & Fire, The Emotions"
"Blame It on the Boogie,The Jacksons"
"I Will Survive - Single Version,Gloria Gaynor"
"Crazy Little Thing Called Love - Remastered 2011,Queen"
"Don't Go Breaking My Heart,Elton John, Kiki Dee"
"Disco Inferno - Edit,The Trammps"
"We Are Family - 1995 Remaster,Sister Sledge"
"September,Earth, Wind & Fire"
"Love Is In The Air,John Paul Young"
"Love Really Hurts Without You,Billy Ocean"
"Superstition,Stevie Wonder"
"Take A Chance On Me,ABBA"
"Night Fever - From ""Saturday Night Fever"" Soundtrack,Bee Gees"
"You're The First, The Last, My Everything - Single Version,Barry White"
"December, 1963 (Oh What a Night!),Frankie Valli & The Four Seasons"
"Best of My Love,The Emotions"
"That's the Way (I Like It) - 2004 Remaster,KC & The Sunshine Band"
"I Want You Back,The Jackson 5"
"Hot Stuff,Donna Summer"
"Le Freak - 2018 Remaster,CHIC"
"Summer Nights - From “Grease”,John Travolta, Olivia Newton-John"
"Play That Funky Music,Wild Cherry"
"Y.M.C.A.,Village People"
"Highway to Hell,AC/DC"
"Dancing Queen,ABBA"
"I Was Made For Lovin' You,KISS"
"Sweet Home Alabama,Lynyrd Skynyrd"
"Hold the Line,TOTO"
"Go Your Own Way - 2004 Remaster,Fleetwood Mac"
"Stuck In The Middle With You,Stealers Wheel"
"Take It Easy - 2013 Remaster,Eagles"
"Gimme! Gimme! Gimme! (A Man After Midnight),ABBA"
"T.N.T.,AC/DC"
"Signed, Sealed, Delivered (I'm Yours),Stevie Wonder"
"Love Grows (Where My Rosemary Goes),Edison Lighthouse"
"Don't Stop 'Til You Get Enough,Michael Jackson"
"Don't Stop - 2004 Remaster,Fleetwood Mac"
"The Boys Are Back In Town,Thin Lizzy"
"Burning Love,Elvis Presley"
"Mamma Mia,ABBA"
"Cecilia,Simon & Garfunkel"
"Daddy Cool,Boney M."
"Dancing in the Moonlight,King Harvest"
"Take Me Home, Country Roads,John Denver"
"Born to Be Alive - The Original,Patrick Hernandez"
"Angeleyes,ABBA"
"Crocodile Rock,Elton John"
"Long Train Runnin',The Doobie Brothers"
"Da Ya Think I'm Sexy?,Rod Stewart"
"All Right Now,Free"
"You Sexy Thing,Hot Chocolate"
"Sir Duke,Stevie Wonder"
"Love Train,The O'Jays"
"Let Your Love Flow,The Bellamy Brothers"
"Move on Up - Single Edit,Curtis Mayfield"
"ABC,The Jackson 5"
"Sunny,Boney M."
"Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad"
"Young Hearts Run Free,Candi Staton"
"School's Out,Alice Cooper"
"Doctor My Eyes,Jackson Browne"
"Can't Get Enough Of Your Love, Babe,Barry White"
"Stumblin' In - 2017 Remaster,Chris Norman, Suzi Quatro"
"If You Want Me to Stay,Sly & The Family Stone"
"Saturday Night’s Alright (For Fighting) - Remastered 2014,Elton John"
"Rivers of Babylon,Boney M."
"Low Rider,War"
"Kung Fu Fighting,Carl Douglas"
"Brown Sugar - 2009 Remaster,The Rolling Stones"
"American Pie,Don McLean"
"It's A Shame,The Spinners"
"Bad, Bad Leroy Brown,Jim Croce"
"Rasputin - Single Version,Boney M."
"Take The Money And Run,Steve Miller Band"
"Got to Be Real,Cheryl Lynn"
"I Wish,Stevie Wonder"
"Rock the Boat,Hues Corporation"
"Heart Of Glass,Blondie"
"Tragedy,Bee Gees"
"Make Me Smile (Come up and See Me) - 2014 Remaster,Steve Harley, Steve Harley & Cockney Rebel"
"Shining Star,Earth, Wind & Fire"
"Rasputin,Boney M."
"I Saw the Light - 2015 Remaster,Todd Rundgren"
"Isn't She Lovely,Stevie Wonder"
"Video Killed The Radio Star,The Buggles"
"Peg,Steely Dan"
"Lowdown,Boz Scaggs"
"Smoke on the Water,Deep Purple"
"Rose Garden,Lynn Anderson"
"Nothing From Nothing,Billy Preston"
"She's A Lady,Tom Jones"
"Shambala - Single Version,Three Dog Night"
"Rock 'n' Roll (Part 2),Gary Glitter"
"You Make Me Feel (Mighty Real),Sylvester"
"Bang a Gong (Get It On) - 2003 Remaster,T. Rex"
"We Go Together - From “Grease”,John Travolta, Olivia Newton-John"
"Bad Girls,Donna Summer"
"Please Mr. Postman,Carpenters"
