"track,artist"
"Surfin' U.S.A. - Remastered 2001,The Beach Boys"
"Ain't No Mountain High Enough,Marvin Gaye, Tammi Terrell"
"Da Doo Ron Ron (When He Walked Me Home),The Crystals"
"Bad Moon Rising,Creedence Clearwater Revival"
"Love Me Do - Remastered 2009,The Beatles"
"Wake up Little Susie,The Everly Brothers"
"Brown Eyed Girl,Van Morrison"
"Mrs. Robinson - From ""The Graduate"" Soundtrack,Simon & Garfunkel"
"Respect,Aretha Franklin"
"I'm a Believer - 2006 Remaster,The Monkees"
"Oh, Pretty Woman,Roy Orbison"
"You Can't Hurry Love,The Supremes"
"Proud Mary,Creedence Clearwater Revival"
"I Can't Help Myself (Sugar Pie, Honey Bunch),Four Tops"
"Twist And Shout - Remastered 2009,The Beatles"
"For Once In My Life,Stevie Wonder"
"It's Not Unusual,Tom Jones"
"House Of The Rising Sun,The Animals"
"Ring of Fire,Johnny Cash"
"I Got You (I Feel Good),James Brown & The Famous Flames"
"You Never Can Tell,Chuck Berry"
"Green Onions,Booker T. & the M.G.'s"
"Help! - Remastered 2009,The Beatles"
"Good Vibrations - Remastered 2001,The Beach Boys"
"Hit the Road Jack,Ray Charles"
"Be My Baby,The Ronettes"
"Sugar Sugar,The Archies"
"Hold On, I'm Comin',Sam & Dave"
"Do You Believe in Magic?,The Lovin' Spoonful"
"Build Me Up Buttercup,The Foundations"
"Rescue Me,Fontella Bass"
"Think,Aretha Franklin"
"All My Loving - Remastered 2009,The Beatles"
"Land of 1000 Dances,Wilson Pickett"
"Baby Love,The Supremes"
"Dancing In The Street - Stereo,Martha Reeves & The Vandellas"
"Soul Man,Sam & Dave"
"Do You Love Me - Mono Single,The Contours"
"Louie Louie,The Kingsmen"
"A Hard Day's Night - Remastered 2009,The Beatles"
"This Old Heart Of Mine (Is Weak For You),The Isley Brothers"
"Hard to Handle,Otis Redding"
"I Get Around (Mono),The Beach Boys"
"Where Did Our Love Go,The Supremes"
"Please Mr. Postman - Single Version / Mono,The Marvelettes"
"(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas"
"(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson"
"Baby I Need Your Loving,Four Tops"
"Jump in the Line,Harry Belafonte"
"Come A Little Bit Closer,Jay & The Americans"
"Something's Got A Hold On Me,Etta James"
"It's My Party,Lesley Gore"
"Do Wah Diddy Diddy - 2007 Remaster,Manfred Mann"
"Waterloo Sunset,The Kinks"
"Nowhere To Run,Martha Reeves & The Vandellas"
"Summer in the City - Remastered,The Lovin' Spoonful"
"It Takes Two,Marvin Gaye, Kim Weston"
"Hey! Baby - Remastered,Bruce Channel"
"One Fine Day,The Chiffons"
"Going Up The Country,Canned Heat"
"Stop! In The Name Of Love - Single Version,The Supremes"
"Knock on Wood,Eddie Floyd"
"Barbara Ann,The Beach Boys"
"I Only Want To Be With You,Dusty Springfield"
"Everybody Needs Somebody to Love,Solomon Burke"
"Mustang Sally,Wilson Pickett"
"Friday On My Mind,The Easybeats"
"It's Your Thing,The Isley Brothers"
"Comin' Home Baby,Mel Tormé"
"(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones"
"Everlasting Love,Love Affair"
"Luck Be A Lady,Frank Sinatra"
"Surfin' Bird,The Trashmen"
"Baby (You've Got What It Takes),Dinah Washington, Brook Benton"
"Breaking Up Is Hard to Do,Neil Sedaka"
"Gimme Some Lovin' - Single Mix,The Spencer Davis Group"
"The Tears Of A Clown,Smokey Robinson & The Miracles"
"Sunshine, Lollipops And Rainbows,Lesley Gore"
"Ain't That A Kick In The Head,Dean Martin, Nelson Riddle"
"The Hippy Hippy Shake,The Swinging Blue Jeans"
"Take Good Care Of My Baby,Bobby Vee"
"Uptight (Everything's Alright),Stevie Wonder"
"The Wanderer,Dion"
"Saturday Night at the Movies,The Drifters"
"Beggin',Frankie Valli & The Four Seasons"
"Hello Mary Lou, Goodbye Heart - Remastered,Ricky Nelson"
"These Boots Are Made for Walkin',Nancy Sinatra"
"Georgy Girl,The Seekers"
"He's So Fine - Remastered 2000,The Chiffons"
"Mony Mony,Tommy James & The Shondells"
"Needles and Pins - Mono,The Searchers"
"Hang On Sloopy,The McCoys"
"River Deep - Mountain High,Ike & Tina Turner"
"Shout,Lulu"
"Papa's Got A Brand New Bag,James Brown"
"Viva Las Vegas (Bonus Track),Elvis Presley"
"Twist And Shout,The Isley Brothers"
"Bus Stop,The Hollies"
"My Boy Lollipop,Millie Small"
"Young Girl,Gary Puckett & The Union Gap"
