track,artist
"Swan Lake, Op.20 - Mariinsky Version / Act 1: Scene 2: Scène (Moderato)","Pyotr Ilyich Tchaikovsky, Mariinsky Orchestra, Valery Gergiev"
"2 Arabesques, L. 66: No. 1 in E Major","Claude Debussy, Jean-Efflam Bavouzet"
II. Largo,"Johann Sebastian Bach, Glenn Gould, Vladimir Golschmann, Columbia Symphony Orchestra"
"Concerto No. 1 in B-Flat Minor for Piano and Orchestra, Op. 23: III. Allegro con fuoco","John Lill, London Symphony Orchestra"
"Piano Concerto in A minor, Op.16: 1. Allegro molto moderato","Edvard Grieg, Stephen Kovacevich, BBC Symphony Orchestra, Sir Colin Davis"
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers","Pyotr Ilyich Tchaikovsky, Berliner Philharmoniker, Sir Simon Rattle"
"Quintettino Op. 30 No. 6, G.324: 4. Passacalle","Luigi Boccherini, Berliner Philharmoniker, Herbert von Karajan"
Clair de Lune - Debussy,Exam Study Classical Music Orchestra
"Douze études, Op. 25: No. 1 in A-Flat Major ""Aeolian Harp""","Frédéric Chopin, Giovanni Umberto Battel"
"Nutcracker Suite, Op.71a: 2b. Dance of the Sugar-Plum Fairy","Pyotr Ilyich Tchaikovsky, Chicago Symphony Orchestra, Sir Georg Solti"
"Strauss I: Radetzky March, Op. 228","Johann Strauss I, Wiener Johann Strauss Orchester, Willi Boskovsky"
"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro","Wolfgang Amadeus Mozart, Lang Lang"
"Flute Concerto No. 1 in G Major, K. 313: III. Rondò - Minuetto","Wolfgang Amadeus Mozart, Opole Philarmonic Orchestra, Silvano Frontalini, Ubaldo Rosso"
"3 Romances, Op. 94: II. Romance in A Major. Einfach, innig","Robert Schumann, Anton Nel, Mela Tenenbaum"
"Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano) [Brahms Lullaby]","Johannes Brahms, Yo-Yo Ma"
"Klarinettenkonzert A-Dur, K. 622: 2. Adagio (Jenseits von Afrika): II. Adagio","Wolfgang Amadeus Mozart, David Shifrin, Mostly Mozart Orchestra, Gerard Schwarz"
"Tchaikovsky: The Nutcracker, Op. 71, Act I, Scene 1: No. 2, March","Pyotr Ilyich Tchaikovsky, Berliner Philharmoniker, Sir Simon Rattle"
3 Gymnopédies: No.1,"Erik Satie, Pascal Rogé"
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 14a, Pas de deux. Andante maestoso","Pyotr Ilyich Tchaikovsky, Berliner Philharmoniker, Sir Simon Rattle"
"Symphony No. 4 in A Major, Op. 90, MWV N16 ""Italian"": I. Allegro vivace","Felix Mendelssohn, Heidelberg Symphony Orchestra, Thomas Fey"
"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": I. Allegro - Live","Ludwig van Beethoven, Krystian Zimerman, Wiener Philharmoniker, Leonard Bernstein"
"Rêverie, L. 68","Claude Debussy, Alain Planès"
"3 Nocturnes, Op. 9: II. Andante","Frédéric Chopin, Brigitte Engerer"
"Waltz in C-sharp minor, Op. 64 No. 2","Frédéric Chopin, Khatia Buniatishvili"
"Six German Dances, K.571: No.1 in D","Wolfgang Amadeus Mozart, Concerto Köln, Werner Ehrhardt"
"Waltz from Sleeping Beauty, Op. 66",London Symphony Orchestra
Ballroom Waltz,"Moscow Symphony Orchestra, William T. Stromberg"
Ave Maria,"Charles Gounod, Yo-Yo Ma"
"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights","Sergei Prokofiev, André Previn, London Symphony Orchestra"
"Mozart: Piano Sonata No. 11 in A Major, Op. 6 No. 2, K. 331 ""Alla Turca"": III. Allegretto. Turkish March","Wolfgang Amadeus Mozart, Moura Lympany"
"Twelve Variations in C Major on ""Ah, vous dirai-je Maman"", K.265","Wolfgang Amadeus Mozart, Ingrid Haebler"
"Concerto for 2 Mandolins, Strings and Continuo in G Major, RV. 532: III. Allegro","Antonio Vivaldi, James Tyler, Robin Jeffrey, The English Concert, Trevor Pinnock"
Moonlight Sonata,Brain Power Amadeus
"Mozart: Sonata for Two Pianos in D Major, K. 448: I. Allegro con spirito","Wolfgang Amadeus Mozart, Güher"
"Waltz No. 19 in A minor, Op. posth.","Frédéric Chopin, Peter Jablonski"
"Horn Concerto No. 2 in E flat, K.417: 2. Andante","Wolfgang Amadeus Mozart, Barry Tuckwell, English Chamber Orchestra"
"Concerto No. 1 in D Major, K.412/518: I. Allegro","Wolfgang Amadeus Mozart, Felix Klieser, Camerata Salzburg"
"Thunder And Lightning, Op. 324","Johann Strauss II, Marko Letonja, Tasmanian Symphony Orchestra"
"Concerto No. 3 in E-Flat Major, K.447: II. Romance. Larghetto","Wolfgang Amadeus Mozart, Felix Klieser, Camerata Salzburg"
"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse","Pyotr Ilyich Tchaikovsky, Moscow Soloists, Yuri Bashmet"
"The Planets, Op. 32: 3. Mercury, the Winged Messenger","Gustav Holst, Berliner Philharmoniker, Herbert von Karajan"
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 12e, Divertissement. Dance of the Reed-Flutes","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra"
"Tchaikovsky: The Nutcracker, Op. 71, Act I, Scene 1: No. 1, Decoration of the Christmas Tree","Pyotr Ilyich Tchaikovsky, Berliner Philharmoniker, Sir Simon Rattle"
"Tchaikovsky: The Nutcracker, Op. 71, Act I, Scene 1: No. 6, Clara and the Nutcracker","Pyotr Ilyich Tchaikovsky, Berliner Philharmoniker, Sir Simon Rattle"
"Violin Concerto No. 3 in F Major, RV 293 ""L'autunno"": III. Allegro","Antonio Vivaldi, Janine Jansen, Candida Thompson, Henk Rubingh, Julian Rachlin, Maarten Jansen, Stacey Watton, Liz Kenny, Jan Jansen"
Piano Sonata Facile No. 16 (2nd Movement),Brain Power Amadeus
"Sonata No. 9 in A Major for Violin and Piano, Op. 47, ""Kreutzer Sonata"": I. Adagio sostenuto - Presto","Ludwig van Beethoven, Ingrid Haebler, Henryk Szeryng"
"Cassation in G Major, K. 63: Andante","Wolfgang Amadeus Mozart, Georg Hölscher, Salzburg Chamber Orchestra, Harald Nerat"
"Also sprach Zarathustra, Op.30, TrV 176: Prelude (Sonnenaufgang)","Richard Strauss, Berliner Philharmoniker, Karl Böhm"
"Schatz-Walzer, Op. 418 ""Treasure Waltz""","Johann Strauss II, Willi Boskovsky, Wiener Johann Strauss Orchester"
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Frédéric Chopin, Mikhail Pletnev"
"Violin Concerto No. 4 in F Minor, RV 297 ""L'inverno"": I. Allegro non molto","Antonio Vivaldi, Janine Jansen, Candida Thompson, Henk Rubingh, Julian Rachlin, Maarten Jansen, Stacey Watton, Liz Kenny, Jan Jansen"
"Waltz Op. 64, No. 1 in D-Flat Major ""Minute Waltz""","Frédéric Chopin, Lang Lang"
Pathetique - 1st Movement (Sonata No. 8 C Minor),Monsalve
"Piano Sonata No. 12 in F Major, K. 332: II. Adagio","Wolfgang Amadeus Mozart, Jenő Jandó"
